comment,antagonize,antagonize:confidence,condescending,condescending:confidence,dismissive,dismissive:confidence,hostile,hostile:confidence,sarcastic,sarcastic:confidence
"Lot's of big dirty money on the Hillary Dem side, don't be so dim.",1,1.0,1,1.0,1,0.8388,1,0.6726,0,0.6529
The US is the seller you idiot.,1,1.0,1,0.7977,1,0.7977,1,1.0,0,1.0
"I know - that's what the 'deep' analysts would like us to believe. She is basically a con woman, who got into her role so deep and benefited so much that she started to believe her own lies.",1,0.7962,0,0.7859999999999999,0,0.8064,0,0.8031,0,1.0
The Holy Bible is wholly babble. It's a bookfull of lies and ancient superstitions. The good news is the trend is overwhelmingly against religion and towards commonsense and science.,1,0.6058,1,0.6058,1,0.6058,0,0.8078,0,0.6166
"While you are okay with a government that runs on lying, cheating fraud and perjury. Your Family Values must include lying, cheating. fraud and perjury.",1,0.6038,0,0.8011,0,0.8011,1,0.6038,0,1.0
"Peggy, Your puerile attack on Ms. Adams is quite petty. You demean her looks with your comments, yet on her worst day she probably looks better than you with your airbrushed photo!",1,0.8122,1,1.0,0,0.6103,1,0.8122,0,1.0
NETNUB - you mean PE Trudeau's tough on terrorist action? I think you Harperites secretly rub yourselves raw lusting after that moment when the Canadian state confronted the FLQ.,1,0.8032,1,0.8032,0,1.0,1,0.6029,1,0.7935
"Wow, I'm amazed that you can't understand the hypocrisy of your comment. As long as it serves your purpose, eh?",1,1.0,1,1.0,1,0.8038,0,0.6108,0,0.6108
Canada is not a discriminatory country like France or Belgium. People like you are a bigger threat to our security than a few thousand refugees who are far more likely to be grateful than vengeful.,1,0.6013,0,0.6078,0,0.8107,1,0.6013,0,1.0
"Our way of living? You mean YOUR way of living, of course. At least be honest about your narrow-mindedness.",1,0.8068,1,0.8068,1,0.6045,0,0.8032,0,1.0
you are a fool,1,1.0,1,0.8017,1,0.8017,1,1.0,0,0.8048
'Official' Documentary ?Whatta sucker .............,1,0.8302,1,0.6677,1,0.6712,0,0.841,0,0.8375
Because he's nasty to the bone.,1,0.6033,0,0.8069,0,0.6022,1,0.6076,0,0.8069
@progressive if you think Harper didn't have any scandles in office you're eaither A: Not paying attention. B: blinded by extreme partisanship. C: senile.,1,1.0,0,0.6018,1,1.0,0,0.6148,0,0.6062
"'Fresh air'? Like the air from a flatulent cow, you mean?",1,0.6087,0,0.6039,0,0.6039,0,0.7971,0,0.6039
The guy's a bad joke. Only silly Libby partisans are too blind not to notice.,1,1.0,1,0.6303,0,0.7859,1,0.7774,0,1.0
you dirty internationalist hyenas just dont understand,1,0.8547,0,0.7132,0,0.7132,1,0.9332,1,0.6465
It's amazing the types of babbling lunatics you can vote buy with a cheap grease burger. The elitist Fords must laugh themselves to sleep over these dupes.,1,0.8358,1,0.6648,0,0.6761,1,0.8358,0,0.8446
Oh pleeeeeese!'Progressive economics' is a union-financed flat earth society selling socialist snake oil to the blind and gullible. The policies they advocate would turn us into a basketcase like Venezuela.,1,0.6029,1,0.6029,1,0.6029,0,0.6196,1,0.6088
@Jan60 & @Quaxo The point sirs is not all food is equal. Not all food is health food Some is poison. When we exercise we burn calories - simple. When we eat we ingest calories - simple right? WRONG!!! You both missed the point.,1,0.6024,1,0.6109,0,0.8194,0,0.7915,0,1.0
Good god. What goes on in your head? Is everything a conspiracy?,1,0.7859,1,1.0,1,1.0,1,0.6053,0,0.792
"If there so forgiving why I have not heard the end of the ""admires China"" thing? I see it almost everyday. So enough with the ""buried"" BS. That is mentioned non-stop.",1,1.0,0,1.0,0,1.0,0,1.0,0,1.0
The woman is deluded.,1,0.6093,1,0.8083,1,0.6073,1,0.6093,0,1.0
"Yes, ""the west wants in"" was always a rubbish statement but it played well to the dumber members of Canadian society. Diefenbaker, Clark, Campbell, Turner ... etc.",1,0.6632,1,0.8259,1,0.6632,1,0.6632,0,0.6544
It makes me want to puke the true north strong and free hairball.,1,0.6044,0,0.7867,0,1.0,1,0.6044,0,0.7867
Ugh... If ignorance was gold you would be a very wealthy man sir... P.S. Reagan was a piece of garbage.,1,0.7841,1,1.0,1,0.7841,1,0.7841,1,0.7842
yawn,1,0.6157,0,0.7979,1,0.6157,0,0.7909999999999999,0,1.0
"It must be terrible for Aziz to live in a hellhole like England. Why doesn't she move to the paradise that is Pakistan ? Unfortunately, she couldn't write whining articles about Islamophobia for bien pensant editors at the G&M if she did.",1,0.8069,1,0.7959999999999999,0,0.6088,0,0.8128,1,0.8069
"So, everyone who disagrees with her - and YOU - are fascists? You're just another pouting SJW, angry that you didn't get a 'Participant' trophy...",1,1.0,1,0.7814,0,0.6186,1,0.6047,0,0.614
"You haven't really learned the key lesson; don't endorse anyone, and however you decide to vote, expect you candidate to lie to you.",1,0.6067,0,0.7929999999999999,0,0.8015,1,0.6067,0,1.0
"i thought you might have some brains until this comment, buddy, this presentation was simpler than half of the senior engineering projects at my state school last year.",1,0.9226,1,0.9213,0,0.6104,1,0.7698,1,0.6428
This was a sophomoric piece of tripe.,1,0.6089,1,0.6089,1,0.6089,1,0.6089,0,1.0
Solve the worlds problems. Send muslims and jews packing... if they can't accept and live like others in the West. We don't need this crap here,1,0.7813,0,0.6112,0,0.8024,1,1.0,0,1.0
Oh silly bylaw enforcement officer take my advice. Pull down your pants and slide on the ice.,1,1.0,0,0.7535,0,0.7535,1,0.7535,0,1.0
Oh he’s gonna be killed on live tv huh? Are you a child who actually believes this or you just some shitty person trolling?,1,0.9614,1,0.9586,1,0.7588,1,1.0,1,0.6373
"Another simpleton, I guess critical thinking isn't one of your strong points.",1,1.0,1,0.8133,1,0.8133,1,0.7917,0,0.8016
If you honestly see the deceitful Cons as the 'best option' available I feel sorry for you.,1,0.6571,1,1.0,1,0.6585,0,0.6729,0,0.841
Please do you use the death of a child for your ulterior motive. It is obvious that you do not care about Chinese or Canada.,1,0.8027,1,0.8027,0,0.6005,0,0.807,0,1.0
"Buddy, no one cares about your Cons anymore. They're done... yesterday's newspapers. Soon to be polling below 15% in terms of popularity",1,0.8022,1,0.6044,1,0.6033,0,0.7873,0,0.8022
"With that attitude, you must work on Obummer's White House, eh?",1,0.8396,1,0.8303,1,0.67,1,0.6729,1,0.8303
"Poor execution of what? 25,000 refugees by Jan 1? Seriously? What exactly is your complaint? That he didn't let in more or that he let in 10,000 too many? That's your segue to ranting about Ontario?",1,0.7943,1,0.7943,0,0.6049,0,1.0,0,1.0
"'David, you are missed.'Only by Birkenstock wearing, latte-sucking, leftie elitists from south of Bloor.....",1,0.6062,1,0.6273,0,0.7888,1,0.6062,1,0.8159
"because that's the global geo-strategy you are so misinformed about. I'm willing to bet that your first instinct after this is that I'm a Harper supporter, right? Get informed!",1,0.6057,1,1.0,1,0.8109999999999999,1,0.6057,0,0.8109999999999999
you're just a dupe trying to screw the rest of us,1,1.0,1,0.8447,1,0.682,1,0.8817,0,1.0
what environmentalists have made any such suggestion? And I don't mean lone nutbars on a website.,1,0.6063,0,0.8047,0,0.7921,0,0.8047,0,1.0
"Dartguard, you have a situation where 3.1 BILLION dollars has gone missing and you STILL believe they're telling you the truth? May God man! Wake! ... up!",1,0.6087,1,1.0,0,0.6039,0,1.0,0,0.7971
"So, Joe, were YOU at the trial? Do YOU have legal training?",1,0.6239,1,0.8082,0,0.8015,0,1.0,0,0.7826
You have absolutely no idea what you are talking about. I'm not sure if you're trying to be funny or you're just insane.,1,0.8029999999999999,1,0.606,1,0.606,1,0.606,0,0.8029999999999999
"Dress up an invasion any way you want, tovarich. Are you still upset about our winning Eurovision song?",1,0.7528,1,0.6232,0,0.6187,0,0.7512,0,0.6187
"Rod. Stop with the disingenuous, ""low information voter"". What you mean are stupid people.",1,0.607,1,0.7962,0,0.8176,1,0.607,0,1.0
your an idiot,1,1.0,1,0.7634,1,0.7148,1,0.9212,0,0.9565
That's what happens when the pretty boy doesn't have content: we find out.,1,0.8032,1,0.8032,1,0.6009,0,0.797,1,0.6009
"Christian, Jewish, islam are the death religions. You have to die to reach heaven.",1,0.8029999999999999,0,0.812,0,0.812,0,0.6043,0,0.812
A vacuous comment from a simple mind.,1,0.8874,1,0.8791,1,0.7652,1,0.6845,0,0.7702
Yummm... likely not Canadian bias... more like Russian-sponsored paid trolls... and likely drugged up as well....,1,0.7954,0,1.0,0,1.0,1,0.7929999999999999,0,0.7976
"Uhm Laureen put in a ten hour day yesterday, stop being a Union liar...",1,0.6034,0,0.8006,0,0.8006,1,0.6034,0,0.7984
"Yup, no spin whatsoever from the ""pro choice"" side: 8 months of ""choice"" isn't enough, that ""fetus"" halfway out the birth canal is still just a lump of cells, just part of the woman's body, right?",1,0.7985,0,0.6064,0,0.8029,0,0.8101,1,0.6086
Your stupidity rises so high I can't see it from down here. ,1,0.9592,1,0.8803,1,0.8367,1,0.92,0,0.6071
seems all you have to do is make a broad sweeping mindless criticism of Harper and you get 8 thumbs up from a small bunch of lemmings .....I think I'll give it a try ......Harper is the worst PM Canada has ever had !,1,1.0,1,1.0,1,0.6075,0,0.7994,1,1.0
"And yet this opinionated dunce of a columnist who has no experience in medical science or clinical research, yammers on about something he knows nothing about. So do many posters.",1,1.0,1,1.0,1,1.0,1,1.0,0,1.0
"You're not the only Canadian, but you may be the only idiot.",1,0.8140000000000001,1,0.6061,0,0.6082,1,0.7929999999999999,1,0.6061
"Dumbest statement ever! If I am doing nothing wrong, then why are you spying on me?",1,0.8082,1,0.8082,1,0.6163,1,1.0,0,0.8001
"Stephen, speaking of idiots that can't read - what part of ""you're endangering everone else's kids"" don't you understand?",1,1.0,1,0.6068,1,0.6022,1,0.8057,0,0.6013
thats slightly cracked you freak a holic,1,0.8126,1,0.7959999999999999,1,1.0,1,0.6086,0,0.8126
Google it you twerp.,1,0.9561,1,0.8314,1,0.7881,1,0.8752,0,0.9593
I am glad you didn't say soccer! Those goofshead butt other players in the face!!,1,0.6022,0,1.0,0,1.0,0,0.6042,0,1.0
"Earthquakes, you say? Oh, well. No dumber than the rest of your post.",1,1.0,1,0.7443,1,0.7443,1,1.0,0,0.75
"Maybe, the real lesson in all of this is when one listens to the likes of Repugnican denialist dinosaurs like J. Howard Pew and the Koch bros, they end up burnt in the end. AMEN",1,0.6042,1,0.6042,1,0.6042,0,0.6041,0,0.7918
Well then stay under your rock.,1,0.7566,1,0.7566,1,0.7566,0,0.7641,0,1.0
Gee but you had no issues when Chretien played the same game. The hypocrisy of the anti-Harper crowd is very amusing and quite ironic.,1,0.7998,1,0.7926,0,0.8023,0,0.6053,0,0.8023
That course is as usful as Womens Studies. If this is what is taught in university then no wonder the only job many university graduates can get is flipping burgers.,1,0.7777,1,0.7777,0,0.7991,0,0.6079,0,0.6048
"Idiot and moron, very intelligent response. And by the way, the largest producer of carbon emissions is China.",1,0.6191,0,0.7771,0,0.7771,1,0.6191,0,0.7771
Really?? And where did you get your common sense ??,1,0.6004,1,0.6004,0,0.7938,0,0.8066,1,0.6004
Such a silly comment. The Royal Family is a refreshing change from the elected politicians.,1,0.6072,1,0.6072,1,0.6072,0,0.8034,0,1.0
"What ARE they saying then? Enlighten us, Mr. Comprehension.",1,0.774,1,0.774,0,1.0,0,0.7459,1,1.0
That comment has been plastered on these forums often enough that only a stupid person would post it again.,1,1.0,1,0.8,0,0.6095,1,0.7952,0,1.0
"Onward Christian soldiers marching off to war... Anyone still wanna buy those F-35s,ah,ah,ahhhhh? This, is the price you pay... Highway of hero's??? More like highway of fools...",1,0.8396,1,0.8396,1,0.8332,1,0.6729,1,1.0
"Bad news dude, as an economist no one respects you.",1,0.8109,1,0.8109,1,0.6027,1,0.8109,0,0.8011
And you know this fact because? Maybe you just imagined it from a dream?,1,1.0,1,1.0,1,1.0,0,0.6273,0,0.8048
bobthebob... that's all you've got?????,1,1.0,1,1.0,1,0.6812,0,0.6356,0,1.0
"Shutting down and taxing the living crap out of Toronto, Montreal, and Vancouver making them live in caves would be most effective",1,1.0,0,1.0,0,1.0,1,1.0,0,1.0
HATE is not a strong enough word but I hate Stephen HarperHe is RUINING our country,1,0.611,0,0.8014,0,0.8014,1,0.611,0,1.0
"Amazing. Thank goodness the Clinton web of deceit hasn't yet taken over Apple autocorrect, Inspektor. Once that happens we know we are in deep deep doo-doo.",1,0.6041,0,0.6047,0,1.0,1,0.6041,1,0.6025
"Oh, and if you think talk of tax cuts isn't pandering to the Toronto Sun and to the Libertarians of Lanark, you haven't been watching.",1,0.612,1,0.612,0,0.8031,0,1.0,0,0.8058
Trump supporter's r dumber than rocks,1,0.962,1,0.8001,1,0.6725,1,0.7195,0,0.7607
"Joanne... since you are a believer, what on earth are you doing using a computer? Turn it off and save the planet!",1,0.6481,1,0.6734,1,0.6612,1,0.8179,1,1.0
"Yes, they certainly will increase our population quickly and easily. What do you know about population biology and ecology? Not much at all, obviously.",1,0.6042,1,0.6042,1,0.6042,1,0.6042,0,0.8012
I'll whisper it in your rear Corn. It is called satire.,1,0.6068,1,0.8078,0,0.8078,0,0.8078,0,0.7907
Much ado about a little 'chicanery'.,1,0.6174,1,0.6174,0,0.7887,0,0.7951,1,0.6174
Meaning the Bible thumpers won't be allowed to thump gay folks to death? The victory will be costly to whom?,1,0.6116,0,0.8015,0,0.804,1,0.6116,0,0.7979999999999999
"Dumb as a big bag of rocks, that's how stupid they are, gullible too.",1,0.6068,1,0.7956,0,0.8091,1,0.7995,0,0.7885
Just a few brain cells and qualification for the job would o.,1,0.7918,1,0.7918,0,0.8002,1,0.7918,1,0.8022
"All true, but the real 'why' is that the others were loyal Canadians, while Harper is a traitor engaged in treason.",1,0.7622,0,0.7426,0,0.7426,1,0.7622,0,1.0
"Not only is it a lost cause so long as islam is its answer regardless of the question or issue at hand, the so-called 'islamic world' should be blockaded, quarantined, and sealed off from the civilized world.",1,0.7963,1,0.6072,1,0.8109,1,0.7963,0,0.8109
"'I want a job but I don't want to have to actually go to my job'Whine whine whine whine whine whine whine. With such perverse senses of entitlement, how does these people ever get jobs in the first place?",1,0.602,1,0.7955,0,1.0,1,1.0,0,0.6048
Did your brain explode before you could finish your sentence? Lucky brain.,1,1.0,1,0.833,1,0.6638,1,0.833,1,0.6529
You don't understand international finance do you fatty.,1,0.9238,1,0.9235,1,0.6842,1,0.9238,0,0.8422
"Let me know how that works for you. Oh, and don't forget to add Cuba to the list, seeing as how little boy wonder things Fidel and the thousands of murders by Castro were such a good thing.",1,0.8438,1,0.8788,0,0.8855,1,0.8068,1,0.84
"Harper knows that most Conservatives are stupid people, so he plays them like a fiddle. That old fogey who called Lori Graham of CTV a 'piece of .....' is quite typical of the ignorant Conservative base.",1,0.8124,0,1.0,0,1.0,1,0.6103,0,0.7889
Sure Bud. Can you provide a single instance where voter fraud has in any way influenced a Canadian election? Just one example for the sake of us uninformed liberals?,1,0.607,1,0.8179,0,0.6065,0,0.7864,1,0.6272
"Trump couldn't govern effectively not because of rioting, it would be because he is not capable of it. He has proven that he is an idiot.",1,0.6034,0,1.0,0,1.0,1,0.6034,0,1.0
Just ignore the CON PROPAGANDISTS. The OP is a shrill pug. The cons want to destroy Canada but dumbing it down.,1,1.0,1,0.7883,1,1.0,0,0.6134,0,0.8028
"Iran is a cesspool, even the americans and canadians that went there came back as sadists. let it rot. let Isreal rot too. leave Canada out of that BS.",1,0.6019,0,0.7968,0,1.0,1,0.8,0,1.0
"Old curmugeon, it does appear that you are confused by the facts.",1,0.7986,1,0.8065,1,0.8065,1,0.6011,0,0.8051
"gasoline price fixing, no way. you must also believe in UFO s and sasquatch",1,0.6059,0,0.6089,0,0.6089,1,0.6059,1,0.6059
I think your tin-foil hat is screwed on too tight.,1,0.6593,1,0.8217,1,0.8283,0,0.6694,1,0.8379
Maybe fools like you shouldn't have supported Bush-Cheney's criminal War on Iraq.,1,1.0,1,1.0,1,1.0,1,1.0,0,1.0
and if he sent a battle group and a few squadrons you boners would all be screaming warmonger... bunch of phonies,1,0.9198,0,0.7192,0,0.8056,1,0.8161,0,0.9649
"The Hillary campaign is terrible at name calling.. All Trumps supporters are deplorable and irredeemable and Bernie's supporters are all basement dwellers.. She has names for everyone. I wonder what she calls her own supporters? Suckers, I guess.",1,0.6956,1,0.6956,0,0.7143,1,0.6956,0,1.0
