comment,antagonize,condescending,dismissive,hostile
There should be a law for posting on the internet the same as driving a car. If I have to read another one of these uninformed posts from a naive 15 year old on their lunch break I'd go ask my neice. ,1,1,1,0
"Listen up, Buster. Women's issues are everyone's issues. Quit playing the victimization card that you seem to despise so much.",1,1,1,0
What drivel! What's the color of the sky in your world?,1,1,1,0
you seem like a real likeable guy! No wonder your mum abandoned you at birth,1,0,0,1
Glossing over is one of Peggy's main things.,1,0,0,0
Almost none of it is fact. It's just a laundry list of what the loony right would like to believe.,1,0,1,0
"Come to Ontario - we had 10 years of McGuinty and the Libs and now we have Wynne - more lying, incompetence and waste. I will take Harper and the Conservatives anytime!",1,0,0,0
"Seems to me that you could benefit from a remedial reading class if you think this article is about the editors. The description of the Conservatives is accurate, and the warnings realistic.",1,1,0,0
Another right wing nut job trying to make decisions on what I do with my body and how I manage my pain. I'm so glad you and your ilk are not in control anymore.,1,0,0,1
"lol ... to the sanctimonious, give them shelter in your house.",1,1,1,0
"Trump, illiterate?? Can't beWarning - language is NSFWhttps://www.youtube.com/watch?v=7LFkN7QGp2c",1,0,0,0
"Lowest common denominator works for you Mr. Martin, up your game Sir.",1,1,1,1
Don't remember you. Obviously no one cared what you said. ,1,1,1,1
Your comment is nonsense!!!!Your only response is to change the subject?,1,1,1,0
"Oh dear Erika, ever on the alert to any perceived slight to the US and pretty much the only reason I have ever seen her post. Why bother reading a Canadian news site if you are so easily offended.",1,0,0,0
I would absolutely run you over if I drove past you on my way to work,1,0,0,1
Troll and a boring Dolt to boot.,1,0,0,0
"Canada's damp, slightly dumb jewel. Like Lindsay Lohan in a car wash.",1,0,0,0
No ... don't ... have more fries with that. Support Tim Horton's .... go for seconds and thirds .... then go lie down .... repeat all day every day until your heart stops. Thank you .. thank you very much.,1,1,0,0
"And neither is living gay. If you're straight, could you live gay? No, it's not part of who you are. Why don't you try it? I always wonder if you deep, down homophobes are secretly wanting what you oppose so vehemently....",1,0,0,0
"You're puritanical as fuck, enjoy rotting in hell",1,1,0,1
"With liberals like Hillary, who needs Republicans?",1,0,0,0
Trillions? Get a grip! Even the most loony of the left wing moonbats doesn't claim those numbers.,1,0,0,1
Off the meds?,1,1,1,1
Another attempt by some moronic crusader to hijack this topic,1,1,1,1
"Instead of listening to sond bites given to you by the the lunatics in Harper's war room, listen to the entire conversations.",1,1,0,0
Anti-smite's are very active on the Left.,1,0,0,0
Did you finish school? May had the 'wright' approach. Tell you what. In the future have your mommy check your work before you hit the post button. That way you do not make an idiot out of yourself.,1,1,1,1
This is biggest pile of crap I've heard in a long time. I guess you justify anything in your own mind.,1,1,1,1
"dude, im a Conservative making an argument that the CPC will win the next two elections with majorities. Perhaps you comprehension of writing is an issue here. Reread the comment, and save yourself a little dignity.",1,1,1,0
"Wow, those crazy dysfunctional Californians, eh? Why it's almost like they think they're in Ontario......",1,1,1,1
I think he looks like some kind of alien.,1,0,0,0
"nobody can speak on behalf of Canadians, so shut your trap.",1,0,1,1
"stevie harper is a first con man and creep, second rate piano player and a third rate Prime Minister. I can even play piano and keyboards way better than steve. he stinks. Can he play Tony Bank's Cinema Show like a real keyboard player? I can!",1,1,1,1
Maybe you shouldn't have dropped out of school in grade 8 then.,1,1,0,1
"Once again little feller, the Iraqi, who requested air support, will supply the ground offensive. What is with you people? Are you selectively deaf or just intellectually challenged?",1,1,1,0
One of the longest produced newspapers in Canada should be sanctioned for allowing one article? You are being ridiculous. Its called freedom of the press.,1,1,1,0
"Indeed, russia is a pretty pathetic case for a country. I've been there a number of times - miserable, unfriendly, uncouth people and third world living standards.",1,0,0,1
"It seems everyone who disagrees with a liberal is as you put it ' dregs, the finger pointers, the malcontent and above all the pitiful, malignant, murderous racists' You just described yourself. Very ironic.",1,1,1,1
A nice touch of irony from the poor beleaguered white guy victim.,1,1,1,1
The vocabulary fairy's two cents worth,1,1,0,1
Because Oilbertan politicians like Ralph Clown and Fascist Steve are d*cks.,1,0,0,1
Don't gloat too much. He became the nominee because in their system they encourage non-party members to vote in the primaries as a means of recruiting members for the party - exactly the same idiotic system that our parties up here use.,1,0,0,1
"Infantile straw man argument, go back to playing with your big truck",1,1,0,0
"Ontario is and has always been the largest net contributor to Ottawa. You guys should check your facts. Link Byfield lied. This stuff my go down well down the Legion in Red Deer, but it's actually balderdash.",1,1,0,1
"What a remarkably crabby, small-minded little man you must be...",1,1,0,1
"Brilliant Freefroggy. Just brilliant. Don't address the issues, never mind the facts, just sneer at Liberals, as though you have a clue about anything. You obviously don't.",1,1,1,1
"http://everytown.org/mayors/ ..............mayors against gun violence. I don't understand why there is so much resistance in the States in keeping guns out of the hands of criminals, terrorist and the mentally ill.",1,0,0,0
Better fix your (tinfoil) hat,1,1,1,0
Ahahaha! You are truly delusional.,1,1,1,1
I didn't know journalism degrees come in crackerjack boxes. This girl no doubt got hired for her looks.,1,1,1,1
Just being realistic. Arabs are not interested in peace with Jews. They are interestedin the eradication of Jews and the elimination of the Jewish state.,1,0,0,0
As usual your silly partisanship clouds you from being able to see the larger picture.,1,0,0,0
"Lot's of big dirty money on the Hillary Dem side, don't be so dim.",1,1,1,1
The US is the seller you idiot.,1,1,1,1
"I know - that's what the 'deep' analysts would like us to believe. She is basically a con woman, who got into her role so deep and benefited so much that she started to believe her own lies.",1,0,0,0
The Holy Bible is wholly babble. It's a bookfull of lies and ancient superstitions. The good news is the trend is overwhelmingly against religion and towards commonsense and science.,1,1,1,0
"While you are okay with a government that runs on lying, cheating fraud and perjury. Your Family Values must include lying, cheating. fraud and perjury.",1,0,0,1
"Peggy, Your puerile attack on Ms. Adams is quite petty. You demean her looks with your comments, yet on her worst day she probably looks better than you with your airbrushed photo!",1,1,0,1
NETNUB - you mean PE Trudeau's tough on terrorist action? I think you Harperites secretly rub yourselves raw lusting after that moment when the Canadian state confronted the FLQ.,1,1,0,1
"Wow, I'm amazed that you can't understand the hypocrisy of your comment. As long as it serves your purpose, eh?",1,1,1,0
Canada is not a discriminatory country like France or Belgium. People like you are a bigger threat to our security than a few thousand refugees who are far more likely to be grateful than vengeful.,1,0,0,1
"Our way of living? You mean YOUR way of living, of course. At least be honest about your narrow-mindedness.",1,1,1,0
you are a fool,1,1,1,1
'Official' Documentary ?Whatta sucker .............,1,1,1,0
Because he's nasty to the bone.,1,0,0,1
@progressive if you think Harper didn't have any scandles in office you're eaither A: Not paying attention. B: blinded by extreme partisanship. C: senile.,1,0,1,0
"'Fresh air'? Like the air from a flatulent cow, you mean?",1,0,0,0
The guy's a bad joke. Only silly Libby partisans are too blind not to notice.,1,1,0,1
you dirty internationalist hyenas just dont understand,1,0,0,1
It's amazing the types of babbling lunatics you can vote buy with a cheap grease burger. The elitist Fords must laugh themselves to sleep over these dupes.,1,1,0,1
Oh pleeeeeese!'Progressive economics' is a union-financed flat earth society selling socialist snake oil to the blind and gullible. The policies they advocate would turn us into a basketcase like Venezuela.,1,1,1,0
@Jan60 & @Quaxo The point sirs is not all food is equal. Not all food is health food Some is poison. When we exercise we burn calories - simple. When we eat we ingest calories - simple right? WRONG!!! You both missed the point.,1,1,0,0
Good god. What goes on in your head? Is everything a conspiracy?,1,1,1,1
"If there so forgiving why I have not heard the end of the ""admires China"" thing? I see it almost everyday. So enough with the ""buried"" BS. That is mentioned non-stop.",1,0,0,0
The woman is deluded.,1,1,1,1
"Yes, ""the west wants in"" was always a rubbish statement but it played well to the dumber members of Canadian society. Diefenbaker, Clark, Campbell, Turner ... etc.",1,1,1,1
It makes me want to puke the true north strong and free hairball.,1,0,0,1
Ugh... If ignorance was gold you would be a very wealthy man sir... P.S. Reagan was a piece of garbage.,1,1,1,1
yawn,1,0,1,0
"It must be terrible for Aziz to live in a hellhole like England. Why doesn't she move to the paradise that is Pakistan ? Unfortunately, she couldn't write whining articles about Islamophobia for bien pensant editors at the G&M if she did.",1,1,0,0
"So, everyone who disagrees with her - and YOU - are fascists? You're just another pouting SJW, angry that you didn't get a 'Participant' trophy...",1,1,0,1
"You haven't really learned the key lesson; don't endorse anyone, and however you decide to vote, expect you candidate to lie to you.",1,0,0,1
"i thought you might have some brains until this comment, buddy, this presentation was simpler than half of the senior engineering projects at my state school last year.",1,1,0,1
This was a sophomoric piece of tripe.,1,1,1,1
Solve the worlds problems. Send muslims and jews packing... if they can't accept and live like others in the West. We don't need this crap here,1,0,0,1
Oh silly bylaw enforcement officer take my advice. Pull down your pants and slide on the ice.,1,0,0,1
Oh he’s gonna be killed on live tv huh? Are you a child who actually believes this or you just some shitty person trolling?,1,1,1,1
"Another simpleton, I guess critical thinking isn't one of your strong points.",1,1,1,1
If you honestly see the deceitful Cons as the 'best option' available I feel sorry for you.,1,1,1,0
Please do you use the death of a child for your ulterior motive. It is obvious that you do not care about Chinese or Canada.,1,1,0,0
"Buddy, no one cares about your Cons anymore. They're done... yesterday's newspapers. Soon to be polling below 15% in terms of popularity",1,1,1,0
"With that attitude, you must work on Obummer's White House, eh?",1,1,1,1
"Poor execution of what? 25,000 refugees by Jan 1? Seriously? What exactly is your complaint? That he didn't let in more or that he let in 10,000 too many? That's your segue to ranting about Ontario?",1,1,0,0
"'David, you are missed.'Only by Birkenstock wearing, latte-sucking, leftie elitists from south of Bloor.....",1,1,0,1
"because that's the global geo-strategy you are so misinformed about. I'm willing to bet that your first instinct after this is that I'm a Harper supporter, right? Get informed!",1,1,1,1
you're just a dupe trying to screw the rest of us,1,1,1,1
what environmentalists have made any such suggestion? And I don't mean lone nutbars on a website.,1,0,0,0
"Dartguard, you have a situation where 3.1 BILLION dollars has gone missing and you STILL believe they're telling you the truth? May God man! Wake! ... up!",1,1,0,0
"So, Joe, were YOU at the trial? Do YOU have legal training?",1,1,0,0
You have absolutely no idea what you are talking about. I'm not sure if you're trying to be funny or you're just insane.,1,1,1,1
"Dress up an invasion any way you want, tovarich. Are you still upset about our winning Eurovision song?",1,1,0,0
"Rod. Stop with the disingenuous, ""low information voter"". What you mean are stupid people.",1,1,0,1
your an idiot,1,1,1,1
That's what happens when the pretty boy doesn't have content: we find out.,1,1,1,0
"Christian, Jewish, islam are the death religions. You have to die to reach heaven.",1,0,0,0
A vacuous comment from a simple mind.,1,1,1,1
Yummm... likely not Canadian bias... more like Russian-sponsored paid trolls... and likely drugged up as well....,1,0,0,1
"Uhm Laureen put in a ten hour day yesterday, stop being a Union liar...",1,0,0,1
"Yup, no spin whatsoever from the ""pro choice"" side: 8 months of ""choice"" isn't enough, that ""fetus"" halfway out the birth canal is still just a lump of cells, just part of the woman's body, right?",1,0,0,0
Your stupidity rises so high I can't see it from down here. ,1,1,1,1
seems all you have to do is make a broad sweeping mindless criticism of Harper and you get 8 thumbs up from a small bunch of lemmings .....I think I'll give it a try ......Harper is the worst PM Canada has ever had !,1,1,1,0
"And yet this opinionated dunce of a columnist who has no experience in medical science or clinical research, yammers on about something he knows nothing about. So do many posters.",1,1,1,1
"You're not the only Canadian, but you may be the only idiot.",1,1,0,1
"Dumbest statement ever! If I am doing nothing wrong, then why are you spying on me?",1,1,1,1
"Stephen, speaking of idiots that can't read - what part of ""you're endangering everone else's kids"" don't you understand?",1,1,1,1
thats slightly cracked you freak a holic,1,1,1,1
Google it you twerp.,1,1,1,1
I am glad you didn't say soccer! Those goofshead butt other players in the face!!,1,0,0,0
"Earthquakes, you say? Oh, well. No dumber than the rest of your post.",1,1,1,1
"Maybe, the real lesson in all of this is when one listens to the likes of Repugnican denialist dinosaurs like J. Howard Pew and the Koch bros, they end up burnt in the end. AMEN",1,1,1,0
Well then stay under your rock.,1,1,1,0
Gee but you had no issues when Chretien played the same game. The hypocrisy of the anti-Harper crowd is very amusing and quite ironic.,1,1,0,0
That course is as usful as Womens Studies. If this is what is taught in university then no wonder the only job many university graduates can get is flipping burgers.,1,1,0,0
"Idiot and moron, very intelligent response. And by the way, the largest producer of carbon emissions is China.",1,0,0,1
Really?? And where did you get your common sense ??,1,1,0,0
Such a silly comment. The Royal Family is a refreshing change from the elected politicians.,1,1,1,0
"What ARE they saying then? Enlighten us, Mr. Comprehension.",1,1,0,0
That comment has been plastered on these forums often enough that only a stupid person would post it again.,1,1,0,1
"Onward Christian soldiers marching off to war... Anyone still wanna buy those F-35s,ah,ah,ahhhhh? This, is the price you pay... Highway of hero's??? More like highway of fools...",1,1,1,1
"Bad news dude, as an economist no one respects you.",1,1,1,1
And you know this fact because? Maybe you just imagined it from a dream?,1,1,1,0
bobthebob... that's all you've got?????,1,1,1,0
"Shutting down and taxing the living crap out of Toronto, Montreal, and Vancouver making them live in caves would be most effective",1,0,0,1
HATE is not a strong enough word but I hate Stephen HarperHe is RUINING our country,1,0,0,1
"Amazing. Thank goodness the Clinton web of deceit hasn't yet taken over Apple autocorrect, Inspektor. Once that happens we know we are in deep deep doo-doo.",1,0,0,1
"Oh, and if you think talk of tax cuts isn't pandering to the Toronto Sun and to the Libertarians of Lanark, you haven't been watching.",1,1,0,0
Trump supporter's r dumber than rocks,1,1,1,1
"Joanne... since you are a believer, what on earth are you doing using a computer? Turn it off and save the planet!",1,1,1,1
"Yes, they certainly will increase our population quickly and easily. What do you know about population biology and ecology? Not much at all, obviously.",1,1,1,1
I'll whisper it in your rear Corn. It is called satire.,1,1,0,0
Much ado about a little 'chicanery'.,1,1,0,0
Meaning the Bible thumpers won't be allowed to thump gay folks to death? The victory will be costly to whom?,1,0,0,1
"Dumb as a big bag of rocks, that's how stupid they are, gullible too.",1,1,0,1
Just a few brain cells and qualification for the job would o.,1,1,0,1
"All true, but the real 'why' is that the others were loyal Canadians, while Harper is a traitor engaged in treason.",1,0,0,1
"Not only is it a lost cause so long as islam is its answer regardless of the question or issue at hand, the so-called 'islamic world' should be blockaded, quarantined, and sealed off from the civilized world.",1,1,1,1
"'I want a job but I don't want to have to actually go to my job'Whine whine whine whine whine whine whine. With such perverse senses of entitlement, how does these people ever get jobs in the first place?",1,1,0,1
Did your brain explode before you could finish your sentence? Lucky brain.,1,1,1,1
You don't understand international finance do you fatty.,1,1,1,1
"Let me know how that works for you. Oh, and don't forget to add Cuba to the list, seeing as how little boy wonder things Fidel and the thousands of murders by Castro were such a good thing.",1,1,0,1
"Harper knows that most Conservatives are stupid people, so he plays them like a fiddle. That old fogey who called Lori Graham of CTV a 'piece of .....' is quite typical of the ignorant Conservative base.",1,0,0,1
Sure Bud. Can you provide a single instance where voter fraud has in any way influenced a Canadian election? Just one example for the sake of us uninformed liberals?,1,1,0,0
"Trump couldn't govern effectively not because of rioting, it would be because he is not capable of it. He has proven that he is an idiot.",1,0,0,1
Just ignore the CON PROPAGANDISTS. The OP is a shrill pug. The cons want to destroy Canada but dumbing it down.,1,1,1,0
"Iran is a cesspool, even the americans and canadians that went there came back as sadists. let it rot. let Isreal rot too. leave Canada out of that BS.",1,0,0,1
"Old curmugeon, it does appear that you are confused by the facts.",1,1,1,1
"gasoline price fixing, no way. you must also believe in UFO s and sasquatch",1,0,0,1
I think your tin-foil hat is screwed on too tight.,1,1,1,0
Maybe fools like you shouldn't have supported Bush-Cheney's criminal War on Iraq.,1,1,1,1
and if he sent a battle group and a few squadrons you boners would all be screaming warmonger... bunch of phonies,1,0,0,1
"The Hillary campaign is terrible at name calling.. All Trumps supporters are deplorable and irredeemable and Bernie's supporters are all basement dwellers.. She has names for everyone. I wonder what she calls her own supporters? Suckers, I guess.",1,1,0,1
"'Albertans are afraid of the rest of Canada...'Pardon?Having seen an influx of 1 million people from the 'rest of Canada' in just over 15 years, that statement reeks of anti-Alberta bigotry. And so do you.",1,0,0,0
"Hawaiians hate whites, have you ever been to Hawaii the natives will literally shit in your face and spit in your food- nobody batts an eye. The open racism towards white people is on another level. Just don’t talk back to the natives and you’ll be fine; otherwise, you’ll leave the island with two black eyes and no one will care not even the cops.",1,0,0,1
Harper. That's the idiot.,1,1,1,1
Every society hates women. It's true. We're doomed. As a whole.,1,0,0,0
"Yo're stoned, MR? No great surprise there, I suppose.",1,1,1,1
Very well said. Let's hope Justin's hair and the brain cell of his handlers never get into power.,1,0,0,1
Harper is the cancer.,1,0,0,1
And they can start with not listening to your sour attitude in your post. You don't like what men are doing..? TOO BAD FOR YOU..!,1,0,0,1
you are a closet idiot,1,1,1,1
I guess the Liberal left did not like the Maude Barlow post... tough She is a fool with followers like many here today!,1,1,0,0
"'Saturn, if you truly believe that, you don't understand the issues in the broader context.'Or the rest of the story, in that the university is the one that stirred it up with its incompetent response.",1,1,1,0
"Maybe ""you"" do, but I don't and my friends and family don't. If you want to fry your brain, go for it, but don't take the whole country down with you.",1,1,1,0
"So, Zimmerman wasn't left unconscious in the rain and Martin is dead. What's your point? Did the kid die for the sake of a 'what if?'. Man, you sound really bitter.",1,1,1,1
Liberalism: the application of unworkable solutions to imaginary problems. Fits like a glove!,1,0,0,0
"Canada is a cesspool, used to be the nicest country on earth, now it is a cesspool of 3rd world immigrants and parasite politicians that have sold Canadians out to keep power. This place is SH.",1,0,0,0
Publishing garbage because it is free.,1,0,0,0
Now I understand why you support Trump so fervently. You are incapable of logical or rational thought.,1,0,0,1
Bury your head in the sand...,1,1,1,1
Obama is lazy,1,1,1,0
"@showmecanuck Note: A cancer patient gets a thumbs down hereabouts - without explanation. Or is that just another ""alarmist Chicken Little"" contribution in your childish parlance.",1,1,0,1
Ron....you merntion brainwashing... the more you post the more it seems your brain is still drying on the clothes line,1,1,0,0
I recall Iggy's eloquent dialogue about how the Liberals are like Puffins who clean up after themselves by burying their skat. Harper's pooping puffin hate ad will go down in history along with the Liberals soldiers in the streets classic.,1,0,0,0
Your writing style (as it is) leaves much to be desired.,1,1,0,0
You've correctly highlighted one of the most stupid comments in the article. Anything that is taught was research at some point in time.,1,1,1,1
"Dusty; C'mon, be honest, you could not do your taxes before, quit blaming the math programs. A not-too-bright comment, no doubt by a not-too-bright Canadian.",1,1,1,0
"Yeah, well - this is the guy who thinks porn is victimless.",1,1,1,0
"Go fly a kite, Khan.",1,0,1,1
"Harper never behaved in this childish, physical manner.",1,0,0,0
That would be an insult to the dinosaurs. They are magnificent. Jim Prentice is not!,1,0,0,1
"Say what, gun haters lying. Say it is not so!",1,0,0,0
"American pols use culture as wedge issues to divide, raise money, and stay in power. That's what culture wars means. The whole piece is a descriptor of how that is occurring (mostly among the Dems).Deal with it..",1,0,0,0
"Interesting reasoning. No doubt you feel we should apply it in cases of human suffering as well. When disasters strike, when famines hit, when wars are afoot... if there's too many victims to treat them all humanely, we should euthanize them. Right?",1,1,1,0
The layman would call Fords bullies and professional psychopaths (as sociopaths are smart). Never trust stupid aggressive man as they are dangerous beyond imagination.,1,0,0,1
you people seriously need help . You are all pathetic......,1,1,1,1
Silly stupidperson! I bite my thumb in your general direction. Your father was a meter maid and your mother a toilet brush.,1,1,1,1
Oh Mel! You're so entertaining. And these fools hang on to every word you say. Hilarious!,1,1,0,0
"They're Con trolls, SR. Start distinguishing.",1,0,0,0
Perhaps if you opened your eyes...,1,1,1,0
"Rob The Cons have a 5% advantage straight off because they their supporters get out and vote, unlike the Lefty supporters that sit at home and watch TV.",1,0,0,0
"Yeah I know, the government just rounded me up to my work camp today! they're making me give up all my belongings to a family of religious extremeist child rapests who immigrated from Mexistan... ohh wait nevermind, that didn't happen",1,1,0,0
... or a corrupt establishment politicians feathering her nest... and a naive billionaire who thinks he can beat the system .... so pa thetic ...,1,0,0,0
Germany elected a quantum physicist... and became the trash can of the world.,1,0,0,1
Hey kid (savetheplanet) time to grow up.,1,1,1,0
traitor....now you have given the North Koreans the Platform edge... on the Conservatives... what's next ...Froggy....Ideologue for Cons..,1,0,0,1
You are being really fucking nasty about this,1,0,0,1
"you idiot, the ndp voted against, the libs for",1,1,1,1
"Shouldn't Traitor Trump be the most afraid, since he has openly invited an unfriendly foreign state to interfere in an American election?",1,0,0,0
give it a rest people the story is toast find something better to talk about like the provincial liberals they should all be in jail,1,0,0,0
"You can't spell, or write a sentence in English, but you can explain the intricacies of climate change. Sure, I take you seriously.",1,1,1,1
"Swing and a miss, Globe. There's nothing wrong with insisting on value for government spending, whether on small items or large. Or do the Globe's editorial writers think it's impossible to walk and chew gum at the same time?",1,0,0,1
"You are right. Everyone in Canada now speaks Mandarin, and we have a communist dictatorship. You should leave now! Trumpville is calling...",1,1,1,0
"LMAO, you're using the wild west to educate yourself. You truly are naive.",1,1,1,1
Precisely. You make no sense.,1,1,1,1
Don't bother just tom. Mouth breather won't get it.,1,1,1,0
"Your describe Hillary as obese, but Trump is likely about 75 lbs overweight. Have you ever seen pictures of how slim Trump was in his 20s and 30s.",1,0,0,0
It looks like Canadians are the ones 'fascinated' by this case. Your media can't stop covering it. And you ignoramuses can't stop commenting about it.Face it. You have a problem.,1,1,0,1
wow you are a fool,1,1,1,1
The Globe has a great stable of professional liars. Kendzior is not so great.,1,0,0,1
his deep dive is his head up his anal cavity,1,0,1,1
"Those damn Liberals .CONS are responsible for absolutely nothing. Mr. Harper is SO HELPLESS during 8 years in power because of those D? LIEBERALS. As a now anti Con, I THANK YOU for RECOGNIZING HOW WEAK mr. harper/baird truly are",1,1,1,1
Adolescent sloganeering is all the left is good for. Hit the streets with your pink Mohawks and let the adults handle the serious issues.,1,1,1,1
oh please. Go back under your rock.,1,0,1,1
Terry Fox? You're an idiot.,1,1,1,1
"You got yourself all worked up over useless jocks? Get a life, pally!",1,1,1,1
"Yeah... nothing like a smarmy, socialist, high school drop out who couldn't handle the intellectualism of grade 10 running the show...",1,1,1,1
Distorting a message as you do shows your immaturity. See a shrink!,1,1,1,1
Everyone with a brain knows why. That obviously excludes Harper supporters.,1,0,0,1
You do not rep Canada at all.But your delusion is no surprise. Go walk a dog or something,1,1,1,1
"How many times have you heard cons accuse someone of being a racist, homophobe, bigot, sexist, xenophobe, redneck? Leftists do it ALL the time.",1,0,0,1
But I see you drooling LPC sheep got here first.,1,1,0,1
Maybe you better keep a close eye on the nuclear subs sitting off the coast of Canada and the US. So who should take who out? Idiots who propose WW3 as you do should hopefully be the first in line to go. Maybe on the end of the A-8.,1,1,1,1
The citizens that voted weren't the 'DUMB' ones it's the 'citizens' who didn't vote that are dumb as heck.,1,0,0,0
"I guess Conservatives everywhere are the party of hatred, sexism, xenophobia and bigotry. I don't mean to say that all Conservatives are this way, but clearly many who do think this way find a comfortable home within a Conservative party.",1,0,0,1
Nothing smacks of pretension like a left-wing wannabe writer. Do you wear round glasses and have elbow patches on your corduroy jacket?,1,1,0,1
"FYI, it's Ms and too bad for you.",0,1,0,0
Please don't be here all week.,0,1,0,0
"Don't let the door hit you on the way out. Say, Boogey, you'd have a better chance of becoming 1st class if you had basic literacy skills. Why don't you start with Russian?",1,1,1,1
Complete hogwash and a real disappointment coming from a former Statistician.,1,1,1,1
"Of course the CBC sensationalized this story. Otherwise, they would have had a promo that said 'Tonight, on the CBC, we have a non-story, about a non-issue, that frankly isn't worth your time watching. More at 10.'",0,1,0,0
"So, in short, you got nothing. But you won't let that stop you from saying it.",0,1,0,0
"Surprising just how many people have not clued into the fact this is nothing more than a tax grab under the veil of climate change. Poor execution, as we would expect from Junior.",0,1,0,0
"That's all baloney nicky/truthhurts/retiree. You have no proof for any of that. You also need to watch your mouth with the insults. Oh, and try going back to public school to see if you can finish this time.",1,1,1,1
"and she is 'negotiating' with the Chinese? wow,such a deal...",0,1,0,0
The NDPs election results were a flash in a pan. They are back to stupid policy and we are back to voting for someone else.,0,1,0,0
stay on topic voof,1,1,1,1
I think that most things are complex for him,0,1,0,0
Not paranoid. Just out of touch with political reality.,0,1,0,0
"Bloggins, who pays you to spew such rubbish. You come across as a fool.",1,1,1,1
"So your logic for saying it ISN'T xenophobia is by saying that by LOOKING at PICTURES of the terrorists, we can immediately draw conclusions that all single straight middle-eastern men are terrorists? Good luck with that.",0,1,0,0
"What are you on, Art? Canada did maintain relations and investing with Cuba even at the displeasure of the USA. You have to know that.",0,1,0,0
"Sure. Legalize it and tax it... so uh, the kids can't get it. Like they can't get at alcohol or porn or sex...",0,1,0,0
Precocious doesn't mean what you think it does. Look it up.,0,1,0,0
"So, Wente comes from Michigan, so I guess that makes her an expert on Detroit, right? Puh-leeze. Stop trying to shoehorn your pathetic and superficial analysis of a complex, tragic story you know precious little about, okay, Wente?",0,1,1,0
You may want to re-read the article and comment on the topic.,0,1,0,0
Yeah all cops strive for the day they can shoot and kill somebody! You really have no idea.....,0,1,0,0
Oh yes More Gun control is the answer right? I know we forgot that the Gun drove itself to the scene and met the shooter there.,0,1,0,0
Millions are starving even with fossil fuels... what's your point?,0,1,0,0
"You're kidding right? The coal industry has been laying off coal miners for years. When they switched to mountain top removal and open pits, they laid off the majority of the miners.",0,1,0,0
"In an ideal world, that would be a lovely solution. But Syria is hell on earth now. Are you personally going to take on ISIS ?",0,1,0,0
Spineless. Wimpy. Where's my thesaurus when I need it..........,0,1,0,0
And we should care.....why?,0,1,1,0
how is this relevant?,0,1,0,0
The man is petty when it comes to Ontario. He tried lecturing us. And how long did he purposefully avoid meeting our Premier?,0,1,0,0
"You remark about Jeffrey not being a good Canadian, and then you proceed to not spell it 'licence'.",1,1,0,0
Please don't tell me you think any Quebec government has ever 'taken on the unions' . That statement is laughably incorrect.,0,1,0,0
"You don't understand how national economies work. That is a huge problem in Canada; the ignorance of so many voters. Could you please all read a couple of books, and stop getting your information from rightwing blogs?",0,1,0,0
It is the first time I have ever read 'overly medicated' or 'lobotomized' to be 'statesmanlike'.,0,1,0,0
"You are part of the problem, not part of the solution.",0,1,1,0
