comment,antagonize,antagonize:confidence,condescending,condescending:confidence,dismissive,dismissive:confidence,hostile,hostile:confidence,sarcastic,sarcastic:confidence
"So you would throw a hissy fit, grab a coworker, elbow a women, and stopper around. Get real and stop the excuses, his actions clearly display a child who had a knee jerk reaction that ended very poorly!!!!",1,0.6,1,0.8011,1,0.7915,0,0.5978,0,0.6052
Oh dear! And here I thought that your series of inane comments had run its course.,1,0.5849,1,0.5849,1,0.5849,0,0.8029,0,0.5839
Can't admit who was responsible can you - do you live in the GTA?,1,0.5935,0,0.5917,0,0.5917,0,1.0,0,0.6181
"Hilliary's first act if she would ever be 'elected', would be an Executive Order to burn all ballots within an hour after her rigged results are announced, just previous Dems like Lyndon Johnson did.",1,0.6033,0,0.8147,0,0.8061,0,0.6078,0,0.8061
"Yes, let's fabricate an argument on a premise that is never likely to happen. Mulcair and Trudeau cowards? Hey, they're not who is afraid of the Islamic bogeyman in the Middle East. Neither am I? Are you afraid of them?",1,0.6021,1,0.6132,0,0.5913,0,0.6054,0,0.6054
you killed the point of your first sentence with your second sentence. That election practically was the time of death for the federal PCs... just took them a long time to figure that out.,1,0.5742,0,0.6135,0,0.5857,0,0.8077,0,0.8058
Said the man in the silly white robe and white cap who abstains from sex.,1,0.5739,1,0.5739,0,0.6169,1,0.5739,0,0.6169
"The writer had a point, you do not. Your dragging out the old standby ""mysoginist"" sinks to a level of personal name calling.",1,0.6042,1,0.7837,0,0.6297,0,0.8092,0,0.8092
Shouldn't you be typing a resignation letter Ibbitson?,1,0.604,0,0.6103,1,0.604,0,0.5875,1,0.5991
What does that word mean? Another yuppy Clinton word? Were you trying to say sexist?,1,0.5864,1,0.7974,1,0.5974,0,0.8116,0,0.8116
So that encompasses whiny non smokers as well?,1,0.6977,1,0.5503,0,0.5867,1,0.5606,1,0.5557
Little rich given that the Libs appointed Alfonso Gagliano as Ambassador to Denmark and uncle Jean gave the Washington job to his nephew.,1,0.6051,1,0.6051,1,0.6051,1,0.6051,1,0.6096
"PET adored the murdering gangster, Castro.",1,0.8037,0,0.6022,0,0.8073,0,0.6042,0,1.0
Literally the dumbest shit I've read in decades.,1,0.8492,1,0.6404,1,0.8843,1,0.8416,0,0.9624
Should have sent Mr. Kadhr back to that desert paradise he was killing Americans for.,1,0.5912,0,0.5897,0,0.7988,1,0.5912,1,0.5864
"Long hair and jeans? What are you, a 1960s high school principal?",1,0.7968,0,0.8076,0,0.8076,0,1.0,1,0.8076
How is that 'vote for real change' thing working out for you folks.,1,0.6086,1,0.8131,0,0.6095,0,1.0,1,0.5809
"I gotta say, I'm glad my grandfather's dead and he doesn't have to hear people using the freedom he fought so hard for to spew the same kinda crap he fought against during the second world war.",1,0.7904,0,0.614,0,0.614,1,0.5904,1,0.586
My first thought after reading the article was put down the crack pipe.. changed it to a bong instead.. more reader friendly.,1,0.5916,0,0.6014,1,0.5916,0,0.8181,0,0.6074
"Always the classless winner Rocky. Enjoy it while it lasts. Meantime, I will head back to my abode with the 2 state-paid maids to look after the rugrats. Liberal entitlements are BACK.",1,0.6051,0,0.6011,0,0.6089,0,0.8065,1,1.0
"In no uncertain terms, this is the most mundane article I have ever read. Trudeau should stop global warming because kids don't play enough outdoor hockey?! Doesn't the Globe have an editor or something.",1,0.5682,0,0.858,0,0.7120000000000001,0,0.7120000000000001,1,0.7096
"The possibility is still very real, nosense.'NEVER underestimate the power of human stupidity.' -Robt. A. Heinlein",1,0.7993,1,0.7929999999999999,1,0.6075,0,1.0,0,0.8083
"We shall indeed see how he governs, with Bannon of Breitbart putting ideas in his ear and the low-down and self-avowedly white supremacist Spencer nearby, but elsewhere.",1,0.5955,0,0.8011,0,0.6074,1,0.5955,0,0.6074
"""From what I read, the vast majority are left alone."" I.DON'T.THINK.SO, madame! Try reading something else besides Alex Jones",1,0.8073,1,0.7959999999999999,1,0.6165,1,0.8073,0,0.6132
"So the daughter should be judged by the sins of the father? Hmmm.How far do you want to carry that principle? England, in years gone by, plundered the world, therefore, any thought from an English brain has No credibility.",1,1.0,1,0.7962,0,0.607,0,0.792,0,0.8049
I assumed that the leading comments would take the retarded and predictable tack which they have indeed taken.,1,0.5876,1,0.8017,1,0.5876,1,0.7859,0,0.6048
Why not? I would vote for a chimpanzee before I would vote for harper and I am not alone,1,0.6118,0,0.8036,0,0.5937,0,0.7945,1,0.6027
You are a complete sicko Ultra. That's my opinion and I'm sticking to it.,1,0.6167,0,0.7897,0,0.7897,0,0.5825,0,1.0
That's an idiotic remark.,1,0.5673,1,0.5673,0,0.623,0,0.8082,0,1.0
"The Daesh recuiter screw, 'She tells them that the hardest part is leaving home' No, the hardest part starts when you get to 'Caliphate'. Have fun tossing your life away idi0ts.....",1,0.8075,0,0.614,1,0.8001,1,0.6075,0,0.614
How's that glue sniffing thing coming along for you?,1,0.5882,0,0.6154,0,0.81,0,0.7964,0,0.5882
The misogynistic trolls like Kravitz have crawled out and appeared now.,1,0.603,0,0.5878,0,0.5878,0,0.5878,0,1.0
"liberals don't care about life, it is money and power",1,0.5231,0,0.6875,0,0.7957,0,0.6023,0,0.8799
"Yep, when the going gets tough there is not much separating you whiners from the Quebec Separatists. The irony runs thick.",1,0.841,1,0.8187,1,0.841,0,0.5041,1,0.6739
"Norin. Four bigoted, racist references in just one sentence!!",1,0.5839,0,0.6024,0,0.7997,0,0.7997,0,1.0
so basically you're fantisizing about getting a legal reason to kill someone. You are a horrible person,1,0.8426,0,0.6512,0,0.5022,1,0.6922,0,1.0
And your post is filled with the same old whining from the wannabes.,1,0.8022,1,0.6044,1,0.6044,0,0.7873,0,0.6093
"Up - You somehow imagine that you could offend me. Not a chance, cupcake. I'm not some Social Justice Warrior demanding a ""safe space"". Get over yourself. Only persistent stupidity offends me. Oh, wait...",1,1.0,1,1.0,0,0.5946,1,0.6044,1,0.5808
or that other left-wing Canadian senator with the much younger bimbo wife who threatened to kill him during an alcohol-fuelled rage... not the type of mile-high action he was hoping for,1,0.6726,1,0.8388,1,0.6726,1,0.8388,1,0.8338
Like the right to express opinions that have no basis in rational thought like yours? identical to my right to make fun of your opinion both guaranteed by the Charter.,1,0.5917,0,0.7835,0,1.0,0,0.6248,0,0.8099
this guy is an embarrassment to the Globe.,1,0.6636,1,0.6636,0,0.5108,1,0.8283,0,0.5108
Fascists have always been aligned with the Arab world. Hitler was and the connection between the left and the Arab world continues to this day.,1,0.5971,0,1.0,0,0.8003,1,0.5971,0,1.0
That was a stupid comment!!! Canada's middle class is better than the USA NOW!!! Unions and there pensions are driving provinces BROKE!!!!!,1,0.8240000000000001,1,0.6652,1,0.6571,1,0.8240000000000001,0,1.0
Good Article. Even though it has hit a nerve with some of the G&M crazies ............,1,0.6953,0,0.8639,0,0.7332,0,0.716,0,0.8639
"Ten years ago you would've agreed with nonsense, and now you speak it. Well done.",1,0.6157,1,0.6157,0,0.5974,0,0.7845,1,0.8096
"You really gotta love conservatives. You see, they con- to serve themselves...",1,0.5793,1,0.5689,0,0.7252,1,0.7184,1,0.8609
"i don't believe you, you're stoned",1,1.0,1,0.5953,0,0.6116,0,0.5953,0,1.0
Even small puddles are not as shallow as the Leahlime post !,1,0.7918,1,0.7918,1,0.7918,0,0.6166,1,0.797
You are a mere 180 degrees off.,1,0.7117,1,0.7256,0,0.5864,0,0.6940000000000001,0,0.5829
"You would have to be pretty stupid (or desperate) to want to work under cowardly, anti-American Obamination.",1,0.5745,0,0.638,0,0.8174,0,0.638,0,0.6049
"Sad, liberals pandering to a surname and a thick head of hair.",1,1.0,1,1.0,0,1.0,1,1.0,0,1.0
"So you think Harper and his gang of more are ""makers""? How deluded of you!",1,1.0,1,1.0,1,0.5937,1,0.7928,0,0.8022
"And in other news, someone claiming to be Gandalf is looking for elves to escort back to Valinor. Why anyone gives a hoot about what this charlatan thinks is beyond me.",1,0.595,1,0.7919,1,0.6,0,1.0,1,0.7919
"No, they prefer to be frogs simmering on the stove, waiting for the bond gnomes to appear.",1,0.8017,0,1.0,0,0.8017,1,0.5989,1,0.604
"yep, that'd be correct.....Harper, enemy to anything i& everyone except those who kiss his a__ and Big Oil! Pathetic!!",1,0.5762,0,0.5873,0,0.8074,1,0.7799,0,0.8074
"What an assinine comment. Shut down everyone you don't agree with, then you can be sure you are cot hen not voice that matters.",1,0.5879,0,1.0,0,0.5885,0,0.6064,0,1.0
Turkey and the others you speak of...presumably the Russians......are not part of the Allies coalition....nice try bozo,1,0.8104,1,0.6238,1,0.8135,0,0.5908,1,0.6007
"Seriously, Are you going to come to Wente's articles for the next 10 years and make plagiarism jokes? At some point you should add something constructive to the conversation or just stop posting.",1,0.5923,1,0.5923,1,0.7862,0,0.8011,0,1.0
skyofblue Yawn. Get a life. All those narcotics can't be good for you.,1,1.0,1,0.8069,1,0.6086,1,0.8083,0,0.7817
You're full of it Quibly. I travel a lot and people have nothing but good things to say about Canada.,1,0.5479,0,0.6782,1,0.5479,0,0.6745,0,0.8896
"oh bull crap., obama is a proven failure on every file, his analysis is pathetic and stupid",1,0.5993,1,0.8117,1,0.5978,1,0.7876,0,0.7876
"MSymons, Don't be too disheartened. The ones who post such drivel are simple self-righteous ignoramouses with nothing better to do than advertise their stupidity. Many more Canadians would appreciate an honest dialogue but you won't find it here.",1,0.7932,1,0.6039,1,0.6075,1,0.5987,0,1.0
Junior is so naive it is both embarrassing and dangerous,1,0.5933,1,0.7851,1,0.5933,1,0.5933,0,1.0
"Oh please tell us, g.d., about your photosynthesis delusions. Wait while I get some popcorn.",1,0.6815,1,0.9611,1,0.5228,0,0.5634,1,0.8371
See how valuable an education is? Now you're able to accurately describe the poverty you find yourself in.,1,0.6532,1,0.6532,1,0.6532,0,0.6766,1,0.6634
"Sheep, no-one's posting links because no-one gives a crap about rally attendances, they mean NOTHING!",1,0.5773,1,0.5773,0,0.7965,0,0.7965,0,0.8155
If you believe this girl you are utterly naive.,1,0.7116,1,0.5518,0,0.5218,0,0.8640000000000001,0,1.0
Doug is so filled with liberal guilt BUT does he have to infect the rest of us? Doug should write for a leftist rag and not G and M is he the token leftist?,1,0.6052,0,0.5988,0,0.5988,1,0.6052,0,0.7948
Or the incompetents that are running the liberal party now.,1,0.7654,0,1.0,0,1.0,1,0.7654,0,1.0
"Only the Canadians matter. The unarmed, innocent children, mothers, fathers etc. don't matter. You sound like an American.",1,0.6649,1,0.6649,1,0.6649,0,0.5116,1,0.6649
"Trump is probably going to win ... get ready. It's going to be him or Ted Cruz, (a Calgary boy!) Hillary for Prison 2016 (popular bumper sticker)",1,0.5803,0,1.0,0,1.0,0,0.8190000000000001,0,0.7819
There should be a law for posting on the internet the same as driving a car. If I have to read another one of these uninformed posts from a naive 15 year old on their lunch break I'd go ask my neice. ,1,0.7624,1,0.9634,1,0.8046,0,0.7621,0,0.9603
"go away old guy, all your forecasts have been disproven. She is a crook, and a phoney.",1,0.5837,0,1.0,0,0.6272,0,0.6272,0,0.8136
Another spectacle for the mindless masses. I think they call it...umm...'sport'? Looks like a sales job to me.,1,0.5857,1,0.5945,1,0.5857,1,0.5857,1,1.0
Oh please ... Seems to me the millennials who are marching in the streets waving rainbow flags and carrying signs saying 'Not my President' are the ones throwing the tantrum here.,1,0.6004,0,0.6084,1,0.5939,1,0.6004,0,0.809
"Listen up, Buster. Women's issues are everyone's issues. Quit playing the victimization card that you seem to despise so much.",1,0.8284,1,0.6602,1,0.6602,0,0.6804,0,0.6724
And you think they are incapable otherwise. Have a nice death.,1,1.0,1,0.7635,1,0.8048,1,0.9602,1,0.5599
and yet the idiots in ontario can't wait to vote for the liberals again,1,1.0,1,0.7207,1,0.5697,1,0.7207,0,0.711
"Yes Augusto was killing his citizens. You truly are a dangerous fool. I have always wondered what type of person would be on death squads, since you started posting it is beginning to come clear, devoted simple people.",1,0.5818,0,0.6302,0,0.6302,0,0.7881,0,0.6302
"Both you guys must have some crystal balls to predict who could or could not have been president due to influences. Can you please use that ball to announce the lotto max numbers for us, better yet just me.",1,0.5963,1,0.5963,0,0.6032,0,0.7988,1,0.5963
No. Unless you are referring to yourself. I suspect that you may not be willing to educate yourself and find it easier to offer simplistic answers to complex realities,1,0.5803,1,0.5803,1,0.5803,0,0.8118,0,1.0
I burst out laughing when I read your first sentence. Then I looked at who left the comment and laughed even harder! lol,1,0.7954,1,0.5974,1,0.7954,0,0.8097,0,1.0
Please God... don't tempt the Liberals to run attack ads showing Stephen Harper with his shirt off.,1,0.782,1,0.5697,0,0.6128,1,0.5995,1,0.5928
Yes you probably are bipolar.,1,0.5835,1,1.0,1,0.7859,1,1.0,0,0.7972
What drivel! What's the color of the sky in your world?,1,0.6029,1,0.6029,1,0.6029,0,0.6035,1,0.6029
Scared little man. Try to find a ball sack on ebay.,1,0.923,1,0.8046,0,0.5146,1,0.9613,0,0.7558
you seem like a real likeable guy! No wonder your mum abandoned you at birth,1,0.8885,0,0.7211,0,0.8041,1,0.8866,1,0.92
@progressive: those aren't the average schools though. the average american education experiance is CRAP. even the Americans admit it,1,0.5721,0,0.607,0,0.607,1,0.5721,0,0.8009999999999999
Glossing over is one of Peggy's main things.,1,0.6001,0,0.6023,0,0.7945,0,0.7945,0,0.6167
In ur dreams Looner.,1,0.5934,1,0.5934,1,0.5934,0,0.8066,1,0.6128
Edb1....please take a science course before wading in on a topic that you clearly don't understand,1,0.5874,1,0.7907,0,0.7939,0,0.5906,0,1.0
Wynne is winning? What alternate universe do you live in?Wynne is a disaster for this Province. Her support for the socialists and unionists is disgusting.,1,0.8003,1,0.8003,0,0.8047,1,0.8003,0,0.5982
Said the guy who probably acts like an uptight clown when hes shortchanged five cents.,1,0.5996,1,0.5888,1,0.5888,0,0.6058,0,0.6166
"Those aren't opinions stated by Moseby -- they are facts. You can claim the facts aren't true, but you'd still be wrong. The Harpers have been sabotaging the committee process since day 1. Just one example among piles.",1,0.5982,1,0.8073,1,0.5982,0,0.7929,0,1.0
^This doesn't even remotely make sense. That's how I know El Guapo is a conservative.,1,0.5904,0,0.7829,0,0.5953,0,1.0,0,1.0
Almost none of it is fact. It's just a laundry list of what the loony right would like to believe.,1,0.8306,0,0.8306,1,0.6708,0,0.6557,0,0.8306
You may be onto something. Please tell me what you eat for breakfast so that I can avoid it. Thanks.,1,0.5984,1,0.6069,0,0.5886,1,0.5984,0,0.5886
"how bout you go to university and get a science education? Till then, leave science to the experts",1,0.581,1,0.581,0,0.6285,0,0.7905,0,1.0
A worthless article from sycophants seeking their own turns at the trough.,1,0.5943,1,0.7883,1,0.7883,0,0.7944,0,0.7944
Some people can't smell their own poop.,1,0.7991,1,0.7991,0,0.5958,0,0.5958,1,0.8108
"Come to Ontario - we had 10 years of McGuinty and the Libs and now we have Wynne - more lying, incompetence and waste. I will take Harper and the Conservatives anytime!",1,1.0,0,0.8043,0,0.8043,0,0.8085,0,1.0
The jihad continues. Nobody beleives anything these scribes spew about Ford these days.,1,0.5945,0,0.5992,1,0.5945,0,0.5992,0,0.6159
"Seems to me that you could benefit from a remedial reading class if you think this article is about the editors. The description of the Conservatives is accurate, and the warnings realistic.",1,0.631,1,0.631,0,0.7923,0,0.8013,0,1.0
Uh... Yes. Have you been living under a rock?,1,0.5777,0,0.6132,1,0.5777,0,0.624,0,1.0
Another right wing nut job trying to make decisions on what I do with my body and how I manage my pain. I'm so glad you and your ilk are not in control anymore.,1,0.6002,0,0.7929,0,1.0,1,0.6002,0,0.8092
"lol ... to the sanctimonious, give them shelter in your house.",1,0.6029,1,0.6029,1,0.6029,0,0.6196,1,0.7959999999999999
Fphshhah!! What has white European culture ever accomplished?,1,0.5933,0,0.8012,1,0.6117,0,0.5972,0,1.0
"Trump, illiterate?? Can't beWarning - language is NSFWhttps://www.youtube.com/watch?v=7LFkN7QGp2c",1,0.6022,0,0.7924,0,0.7924,0,1.0,0,0.7924
"geeze, you're not very bright.",1,0.5805,1,0.5805,0,0.6068,0,0.6068,0,0.7879999999999999
"The West is the most tolerant society=========LOL, most laughable statement. British invaded the whole world and brought these people in - they deserve every word of Qur'an.",1,0.7932,1,0.7932,1,0.7932,1,0.5931,1,0.7932
"And Canadian troops captured by Chinese during the Korean war?? look it up.Being a prisoner of war is just that, a prisoner, you are at the complete mercy of the victors. Ask any surviving member from Stalingrad... wait their aren't any left.",1,0.5838,1,0.5838,0,0.6113,0,0.8033,1,1.0
"David Gibson: 'We need an American news company to keep us honest, eh?'Try dealing with the content instead of attacking the speaker. It's always irrational, and in this case also xenophobic and ignorant.",1,0.5937,0,0.8181,0,0.8181,0,0.7941,0,0.8181
"Lowest common denominator works for you Mr. Martin, up your game Sir.",1,0.8267,1,0.6679999999999999,1,0.6679999999999999,1,0.6679999999999999,1,0.6679999999999999
"cjlawrie, you must be part of the Globe editorial board, because you are WRONG! http://www.theglobeandmail.com/globe-debate/editorials/ontario-election-part-4-for-a-conservative-minority/article19047636/",1,0.5787,1,0.5787,1,0.5787,0,0.6233,0,0.8088
I'm surprised you could hear anything; you seem to be completely tone-deaf.,1,0.8094,1,0.7938,1,0.5891,1,0.6016,0,0.6063
"Learn how to spell, or at least learn to copy a word that is right before your eyes. They learn how to copy words in grade 1, guess you didn't get out of kindergarten.",1,0.5657,1,0.8801,1,0.6034,0,0.5966,0,0.7544
"Oh really Sean? So if one of those Saudi tankers run aground and start leaking, would that be different from a pipeline leak of oil from Alberta? Do you know what ""hypocrisy"" means little fella?",1,0.7895,1,0.7895,1,0.5985,0,0.5838,0,0.7895
"Look truthhurts - I'm beginning to believe there is just you in your little world and everyone else is ""left"" or ""leftists"" or ""left wing"". You need to broaden your horizons.",1,0.5875,1,0.5875,0,0.7999,0,1.0,0,0.6082
Don't remember you. Obviously no one cared what you said. ,1,0.713,1,0.8056,1,0.9639,1,0.63,0,0.7190000000000001
Your comment is nonsense!!!!Your only response is to change the subject?,1,0.6071,1,0.6152,1,0.8061,0,0.6152,0,1.0
"First of all, steve-d1, your right-wing buddies here really did seem to think that ""contract extension"" automatically came with a raise. So, failing that, you're going to go with sheer speculation. Bravo.",1,0.5931,1,0.7938,0,0.5772,0,0.6182,1,0.7938
I’m trying to imagine you with a personality.,1,0.6345,1,0.8789,0,0.6043,0,0.5632,1,0.6409999999999999
Canada's newspaper of record eh?Sorry Globe and Mail. You just ditched any shred of editorial standard or journalistic integrity you once may have had. I'll never check this site again. Serious. What a.... bunch of flippin tossers.,1,0.7849,0,0.6112,1,0.5878,1,0.5887,0,0.6112
Denis wears his tinfoil too tight.,1,0.6034,0,0.5905,0,0.5905,0,0.8017,0,0.6078
"The Duffy trial may not really matter in the end because people that see what went on in the PMO, already would never vote for Harper. And then there are the Harper supporters who will vote for him no matter what he does. You can't fix stupid.",1,0.5992,1,0.5992,0,1.0,0,0.584,0,0.8168
only if you are a liberal or a dipper,1,0.5588,0,0.5714,0,0.8495,0,0.7155,0,0.5966
"Kathleen is whistling past the graveyard she and the Liberals built. Glad to hear she's so proud of it. Some people are stupid, some are greedy. The dangerous one's like Dear Kathleen are both.",1,1.0,1,0.5904,0,0.614,1,0.5904,0,0.614
"Oh dear Erika, ever on the alert to any perceived slight to the US and pretty much the only reason I have ever seen her post. Why bother reading a Canadian news site if you are so easily offended.",1,0.6019,0,0.7959,0,0.7959,0,0.8038,0,0.7984
I would absolutely run you over if I drove past you on my way to work,1,0.9556,0,0.8811,0,0.8401,1,1.0,0,0.9191
"'No better than the Taliban' is, without a doubt, one of the stupidest and most shameful comments ever uttered on the subject.",1,0.8065,1,0.6066,1,0.6066,1,0.5904,0,0.8075
Still sound ridiculous Paul. ;-),1,0.5923,0,0.6119,1,0.5923,0,0.601,0,0.8068
Troll and a boring Dolt to boot.,1,0.6027,0,0.6027,0,0.6027,0,0.7945,0,1.0
"Canada's damp, slightly dumb jewel. Like Lindsay Lohan in a car wash.",1,0.6115,0,0.7939,0,1.0,0,0.7939,0,1.0
No ... don't ... have more fries with that. Support Tim Horton's .... go for seconds and thirds .... then go lie down .... repeat all day every day until your heart stops. Thank you .. thank you very much.,1,0.6086,1,0.6134,0,0.7887,0,0.7887,1,0.8013
The THREE party leaders?????Grow up.,1,0.6035,1,0.5946,1,0.5946,0,0.795,0,1.0
The only people who say this shit are American SJW lobster botherers.,1,0.61,0,0.5927,1,0.61,0,0.5927,0,1.0
"And neither is living gay. If you're straight, could you live gay? No, it's not part of who you are. Why don't you try it? I always wonder if you deep, down homophobes are secretly wanting what you oppose so vehemently....",1,0.8055,0,0.6006,0,1.0,0,0.6006,0,0.7975
Another Liberal boodoggle,1,0.858,0,0.5887,1,0.7041,0,0.5682,0,0.7221
"""cut your iPhone more than basic cable TV cigarettes booze vacation"" 'And get off my lawn you lazy kids!! 1!'",1,0.8031,0,0.8015,0,0.8015,0,0.5999,0,1.0
"Exferrious....your post is the most ill-informed, misguided and bigoted comment I've seen on the G&M boards for some time. Congratulations.",1,0.6462,1,0.6018,1,0.5255,0,0.5885,1,0.7981
"Hey, at least the bigots on the right are self-identifying. That is what makes free speech a good thing!",1,0.6703,1,0.6588,0,0.6831,0,0.6831,0,0.5042
"You're puritanical as fuck, enjoy rotting in hell",1,1.0,1,0.6881,0,0.7824,1,1.0,1,0.6952
The idea that solar farms will deprive us of farmland is stupidity.,1,0.6041,0,0.5994,0,0.7867,0,1.0,0,1.0
"With liberals like Hillary, who needs Republicans?",1,0.62,0,0.7977,0,0.7977,0,1.0,1,0.7846
Only an idjit would give a convicted terrorist a second chance. Removing them from Canada makes other Canadians safer.,1,0.5944,0,0.6097,0,0.6097,1,0.5944,0,1.0
"fuck this man to hell and back, with a rancid cactus puncturing his ass along the way",1,0.882,0,0.5605,0,0.6357,1,0.9201,0,0.8861
Your point? To cowardly to deal with snow? That is why Calgary and Alberta does not call out the army because of a little snow storm. No wonder lefties are not strong enough to live in Alberta.,1,0.5839,1,0.5839,0,0.7997,0,0.6134,0,0.6164
Trillions? Get a grip! Even the most loony of the left wing moonbats doesn't claim those numbers.,1,1.0,0,0.7692,0,0.7692,1,1.0,0,1.0
And americans wonder why everyone hates them?,1,0.6754,1,0.5098,1,0.5098,0,0.6679999999999999,0,0.503
Off the meds?,1,0.6052,1,1.0,1,0.6052,1,0.6052,1,0.7917
"my feelings exactly... Lawyers are bottomfeeders and don't care for anybody but themselves... too bad they are allowed to run for office! Sad as to how our vets are being treated by this bunch of hypocrites in Ottawa, shameful to say the least!",1,0.5998,1,0.599,0,0.7962,1,0.8035,0,1.0
"Please. Let's not say anything about the defacto cultural/linguistic fascism in Quebec. Some Canadians are just more equal than others, and in need of special status.",1,0.6298,0,0.5893,0,0.7879,1,0.6298,1,0.6298
Please provide some evidence that 'Ford is working hard to save us money' - and by evidence I mean something more tangible than the woolly-headed thinking of you Ford Nayshunals ....,1,0.5896,1,1.0,0,0.6009,0,0.8046,1,0.588
Another attempt by some moronic crusader to hijack this topic,1,1.0,1,1.0,1,0.7525,1,0.7525,0,1.0
"If you tried AdScam on for size, you would know how absolutely miniscule it was in proportion to any of Harper's scams. Fool.",1,1.0,1,0.7944,0,0.5857,1,1.0,0,0.8058
I always like hearing from a 'true - blue Conservative' as you have claimed to be on past posts. Keep it up......................................./sarc,1,0.6134,1,0.8114,0,0.5927,0,1.0,1,1.0
@AntiFascist: Here he is again! It's a rhetorical question but do ever post anything here that has even the slightest relevance to the subject and isn't an anti-Israel rant? Apparently not! Kind of predictable and boring - even for a troll.,1,0.7929,1,0.7881,1,1.0,1,0.581,0,0.8074
"Instead of listening to sond bites given to you by the the lunatics in Harper's war room, listen to the entire conversations.",1,0.6029,1,0.6241,0,0.8016,0,0.8138,0,1.0
is that a 20 dollar 'orange juice' youre guzzling gibsonhey big spender,1,0.5931,1,0.5931,0,0.794,0,0.6085,0,0.5924
Anti-smite's are very active on the Left.,1,0.6089,0,0.8092,0,0.8092,0,0.8092,0,0.8092
"You not only do not understand fascism, you do not grasp the conditions for fascism to flourish. And by trying to peg me as Jason, you have revealed yourself to be no more than a troll trying to annoy readers and commenters alike.",1,0.7052,1,0.8689,1,0.8496,1,0.5548,0,0.7372
brave my derriere! he's trying to cash in by selling this story,1,0.5770000000000001,0,0.5943,0,0.8066,1,0.5770000000000001,0,0.5770000000000001
Did you finish school? May had the 'wright' approach. Tell you what. In the future have your mommy check your work before you hit the post button. That way you do not make an idiot out of yourself.,1,0.9617,1,0.7188,1,0.7628,1,0.7244,0,0.7638
One would think that if you were being truthful and actually had a Gretzky jersey you would know how to spell his name. Like you're hero's in politics I think you have trouble telling the truth.,1,0.7995,1,0.5971,1,0.5971,0,0.7995,0,0.7995
Researched?? LOL... I live in Victoria.,1,0.7926,1,1.0,1,1.0,1,0.7926,1,0.5915
Its not ART. Its CRAP.,1,0.6095,0,0.8087,1,0.5951,1,0.8008,0,1.0
